"","p207_20","p208a_20","p104_20","p110a1_20","p1121_20","p1123_20","p1124_20","p1125_20","p1126_20","p1127_20","p1141_20","p1142_20","p1143_20","p1144_20","p1145_20","p301b_20","p301d_20","p306_20","p310_20","p314a_20","p314b1_1_20","p314b1_2_20","p314b1_6_20","p314b1_7_20","p314b1_8_20","p314b1_9_20","p501_20","p5561a_20","p5562a_20","p5563a_20","p5564a_20","p5565a_20","p5566a_20","p5567a_20","p5568a_20","p5569a_20","p558a1_20","p558a2_20","p558a3_20","p558a4_20","p558a5_20","p558e1_1_20","p558e1_2_20","p558e1_3_20","p558e1_6_20","p558e1_7_20","p558g1_20","p558g2_20","p558g3_20","p558g4_20","p558g5_20","ingmo2hd","p401h1_20","p401h2_20","p401h3_20","p401h4_20","p401h5_20","p401h6_20","p401_20","p4021_20","p4022_20","p4023_20","p4024_20","p4025_20","p4191_20","p4192_20","p4193_20","p4194_20","p4195_20","p4196_20","p4197_20","p4198_20","p101_20_2","p101_20_3","p101_20_4","p101_20_6","p102_20_2","p102_20_3","p102_20_5","p102_20_6","p102_20_7","p102_20_8","p102_20_9","p105a_20_2","p105a_20_3","p105a_20_4","p105a_20_5","p105a_20_6","p110_20_2","p110_20_3","p110_20_4","p110_20_5","p110_20_6","p110_20_7","p111a_20_2","p111a_20_3","p111a_20_4","p111a_20_5","p111a_20_6","p111a_20_7","p111a_20_9","p113a_20_2","p113a_20_3","p113a_20_5","p113a_20_6","p113a_20_7","dominio_20_","estrato_20_","p209_20_2","p209_20_3","p209_20_4","p209_20_5","p209_20_6","p300a_20_2","p300a_20_3","p300a_20_4","p300a_20_6","p300a_20_7","p300a_20_8","p300a_20_9","p300a_20_11","p300a_20_14","p300a_20_15","p301a_20_2","p301a_20_3","p301a_20_4","p301a_20_5","p301a_20_6","p301a_20_7","p301a_20_8","p301a_20_9","p301a_20_10","p301a_20_11","p301a_20_12","p401f_20_2","p401f_20_3","p558c_20_2","p558c_20_3","p558c_20_4","p558c_20_5","p558c_20_6","p558c_20_7","p558c_20_8","p558c_20_9"
"1",2,56,3,1,1,0,0,0,0,0,0,1,0,1,0,5,1,2,2,1,0,0,0,0,8,0,2,2,2,1,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,3,0,0,7983,2,2,2,2,2,2,1,1,1,1,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2",1,25,3,1,1,0,0,0,0,0,0,1,0,1,0,3,2,2,2,1,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,0,2,2,2,2,2,2,1,0,0,1,0,0,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3",1,24,3,1,1,0,0,0,0,0,0,1,0,1,0,3,1,1,2,1,0,0,0,0,8,0,2,2,2,1,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1203,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"4",2,52,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,0,8,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,8543,2,2,2,2,2,2,1,1,0,0,0,0,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5",2,54,3,1,1,0,0,0,0,0,0,1,0,1,0,5,1,2,2,1,0,0,0,0,0,9,1,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,6,0,0,0,3,0,0,16308,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6",2,58,4,1,1,0,0,0,0,0,0,1,0,1,0,2,1,2,2,1,0,0,0,0,8,0,2,2,2,1,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,3,0,0,4811,2,2,2,2,2,2,1,0,1,1,0,0,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7",1,42,4,1,1,0,0,0,0,0,0,1,1,1,0,3,1,2,2,1,1,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,2,3,0,0,0,0,0,0,5,48160,2,2,2,2,2,2,2,0,0,0,0,1,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8",2,37,4,1,1,0,0,0,0,0,0,1,1,1,0,5,1,2,2,1,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,0,2,2,2,2,2,2,2,0,0,0,0,1,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",1,21,4,1,1,0,0,0,0,0,0,1,1,1,0,3,1,2,2,1,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10",1,20,2,1,1,0,0,0,0,0,0,1,0,1,0,1,2,1,2,1,0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,6,0,0,0,3,0,0,11190,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
