EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,TipoEmpleo,AreaResidencia,Region,AccesoAguaPotable,AccesoSaneamiento,Hacinamiento,PoseeActivos,TenenciaVivienda,MaterialParedes,AccesoElectricidad,AniosEstudioJefeHogar,IngresoMensualHogar,GastoMensualHogar,PobrezaMonetaria
20,Hombre,4,0.48,Español,Secundaria,Informal,Rural,Costa,1,1,1,1,Propia,Ladrillo/Cemento,1,10,735.0,746.73,1
45,Mujer,8,1.27,Español,Secundaria,Informal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,7,2568.16,2465.73,1
39,Mujer,4,0.12,Español,Superior,Desempleado,Rural,Costa,1,1,1,1,Propia,Ladrillo/Cemento,1,21,1474.71,1704.89,1
28,Mujer,3,2.85,Español,Ninguno,Formal,Urbana,Costa,1,1,1,0,Alquilada,Madera/Esteras,1,0,3420.87,2935.34,0
36,Hombre,7,1.9,Español,Superior,Informal,Rural,Selva,1,1,1,1,Propia,Adobe,1,14,922.37,676.64,1
71,Mujer,3,1.27,Español,Primaria,Informal,Urbana,Costa,0,1,0,1,Alquilada,Adobe,1,6,1939.52,2317.4,0
70,Hombre,4,2.59,Español,Primaria,Formal,Rural,Costa,1,0,1,0,Propia,Adobe,1,1,1775.48,1573.67,0
47,Mujer,2,2.27,Español,Secundaria,Formal,Urbana,Selva,1,1,1,1,Propia,Ladrillo/Cemento,1,7,7028.31,6523.68,0
67,Hombre,5,0.57,Español,Ninguno,Desempleado,Urbana,Costa,1,1,0,1,Cedida,Ladrillo/Cemento,1,0,842.17,671.79,1
47,Mujer,2,2.12,Español,Superior,Informal,Urbana,Costa,0,0,1,1,Alquilada,Ladrillo/Cemento,1,14,5319.93,4619.02,0
38,Mujer,9,0.38,Español,Secundaria,Desempleado,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,11,1352.74,1008.97,1
40,Hombre,7,2.62,Español,Primaria,Informal,Urbana,Costa,1,1,0,1,Alquilada,Madera/Esteras,1,1,1362.59,956.13,1
48,Mujer,3,0.43,Español,Superior,Formal,Urbana,Sierra,1,1,1,0,Propia,Madera/Esteras,1,15,7326.69,5851.56,0
60,Hombre,8,1.8,Español,Secundaria,Formal,Rural,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,10,990.88,1118.81,1
73,Hombre,6,1.08,Español,Primaria,Informal,Urbana,Costa,1,1,0,0,Alquilada,Ladrillo/Cemento,1,6,1233.11,1053.36,1
25,Mujer,8,0.09,Español,Secundaria,Formal,Rural,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,11,5896.11,5387.1,0
62,Mujer,5,2.89,Español,Secundaria,Informal,Rural,Sierra,1,1,1,0,Propia,Ladrillo/Cemento,1,11,1622.29,1561.86,1
52,Hombre,2,0.88,Español,Secundaria,Informal,Rural,Costa,0,1,0,0,Propia,Ladrillo/Cemento,1,8,1498.39,1233.76,0
46,Hombre,7,1.81,Español,Secundaria,Informal,Rural,Costa,0,1,1,1,Propia,Ladrillo/Cemento,1,7,3636.03,3473.2,0
39,Hombre,1,0.74,Español,Primaria,Informal,Urbana,Costa,1,0,1,0,Alquilada,Adobe,1,2,1110.89,934.06,0
48,Hombre,3,1.21,Español,Primaria,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,2,3005.55,2837.99,0
42,Hombre,2,0.49,Español,Ninguno,Formal,Urbana,Costa,1,1,0,0,Cedida,Ladrillo/Cemento,1,0,1944.95,1632.81,0
33,Hombre,8,0.22,Español,Secundaria,Informal,Rural,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,0,9,1147.44,812.57,1
22,Hombre,1,2.38,Español,Secundaria,Informal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,8,1309.0,1523.43,0
21,Hombre,5,1.52,Quechua,Superior,Informal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,21,6232.7,5320.14,0
43,Hombre,4,1.73,Español,Secundaria,Desempleado,Urbana,Costa,0,0,0,1,Propia,Ladrillo/Cemento,0,9,1306.94,1330.94,1
33,Mujer,7,1.23,Español,Superior,Formal,Urbana,Costa,1,1,1,1,Propia,Ladrillo/Cemento,0,16,5997.11,5065.99,0
48,Hombre,2,2.74,Español,Secundaria,Informal,Rural,Selva,1,0,0,0,Propia,Ladrillo/Cemento,1,8,2112.24,1654.28,0
45,Hombre,6,2.95,Español,Superior,Informal,Rural,Costa,1,0,0,0,Propia,Ladrillo/Cemento,1,12,4003.34,2978.61,0
34,Mujer,7,2.2,Español,Superior,Desempleado,Urbana,Sierra,1,1,0,1,Alquilada,Madera/Esteras,0,17,2070.76,2125.02,1
57,Hombre,5,0.28,Español,Superior,Formal,Urbana,Costa,1,1,0,1,Cedida,Adobe,1,17,4768.79,3644.72,0
50,Hombre,4,1.85,Español,Superior,Informal,Urbana,Costa,1,1,1,1,Propia,Ladrillo/Cemento,0,13,6752.44,6724.27,0
42,Hombre,1,2.66,Español,Primaria,Informal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,0,6,1767.51,1545.37,0
