EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,AniosEstudioJefeHogar,TipoEmpleo,IngresoMensualHogar,GastoMensualHogar,AreaResidencia,TenenciaVivienda,MaterialParedes,AccesoAguaPotable,AccesoSaneamiento,AccesoElectricidad,Hacinamiento,PoseeActivos,Region,PobrezaMonetaria
22,Hombre,9,2.53,Español,Secundaria,19,Formal,2165.25,2375.09,Urbana,Propia,Madera/Esteras,1,1,1,1,1,Costa,0
55,Hombre,4,1.6,Español,Superior,4,Informal,3716.6400000000003,2816.01,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
70,Hombre,6,2.51,Español,Ninguno,8,Formal,13873.98,10471.65,Urbana,Alquilada,Adobe,0,1,1,0,0,Sierra,1
62,Hombre,8,2.28,Quechua,Secundaria,10,Informal,6474.0599999999995,5728.31,Urbana,Propia,Adobe,1,1,1,0,1,Sierra,0
42,Hombre,3,0.65,Español,Superior,18,Informal,2305.95,1992.32,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Selva,0
29,Mujer,6,1.43,Español,Superior,20,Informal,7739.549999999999,5778.38,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
36,Hombre,8,1.49,Español,Superior,16,Formal,3319.62,3622.04,Urbana,Cedida,Ladrillo/Cemento,0,0,1,1,0,Costa,0
20,Hombre,2,0.42,Español,Secundaria,15,Informal,2322.87,1710.02,Urbana,Alquilada,Adobe,1,0,1,1,1,Costa,0
24,Mujer,4,0.29,Aymara,Primaria,6,Informal,10403.19,12211.98,Rural,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Selva,0
60,Hombre,4,2.01,Español,Secundaria,3,Informal,14708.46,15901.53,Urbana,Alquilada,Madera/Esteras,1,1,1,1,1,Costa,0
51,Hombre,7,1.97,Español,Secundaria,20,Formal,2563.86,2146.95,Urbana,Propia,Madera/Esteras,1,1,1,0,1,Costa,0
47,Hombre,3,1.04,Español,Superior,20,Formal,2911.05,3423.87,Rural,Propia,Adobe,1,1,0,0,0,Costa,0
55,Hombre,7,0.16,Español,Primaria,17,Informal,6030.12,4225.07,Urbana,Alquilada,Ladrillo/Cemento,1,0,0,0,0,Selva,1
24,Hombre,7,1.02,Español,Primaria,11,Informal,2071.77,1622.82,Urbana,Cedida,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
50,Hombre,6,0.92,Español,Primaria,10,Desempleado,2383.86,1943.05,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,1
18,Mujer,6,0.26,Español,Superior,0,Formal,4683.54,5186.15,Urbana,Alquilada,Adobe,1,1,1,0,1,Selva,0
44,Hombre,6,0.74,Español,Secundaria,13,Informal,1288.53,1282.59,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Sierra,0
