EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,AniosEstudioJefeHogar,TipoEmpleo,IngresoMensualHogar,GastoMensualHogar,AreaResidencia,TenenciaVivienda,MaterialParedes,AccesoAguaPotable,AccesoSaneamiento,AccesoElectricidad,Hacinamiento,PoseeActivos,Region,PobrezaMonetaria
41,Hombre,1,2.0,Español,Primaria,3,Formal,7077.539999999999,6757.56,Urbana,Propia,Ladrillo/Cemento,0,1,1,1,0,Sierra,0
33,Mujer,9,0.02,Quechua,Superior,8,Desempleado,8715.57,9230.89,Urbana,Alquilada,Adobe,0,1,1,0,1,Selva,0
19,Hombre,7,0.57,Quechua,Ninguno,20,Informal,3916.41,2990.82,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
51,Mujer,6,0.97,Español,Primaria,17,Formal,6929.789999999999,6838.63,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,1
69,Hombre,6,1.37,Español,Secundaria,0,Informal,2174.8500000000004,2322.85,Urbana,Propia,Madera/Esteras,1,1,1,0,1,Sierra,0
57,Hombre,9,1.21,Español,Primaria,12,Desempleado,16332.09,16583.99,Urbana,Propia,Adobe,1,0,1,1,0,Sierra,0
61,Hombre,3,0.6,Español,Secundaria,7,Formal,5310.24,4888.49,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
36,Hombre,7,0.55,Español,Superior,19,Informal,1800.54,2143.69,Rural,Alquilada,Madera/Esteras,1,1,1,1,1,Sierra,1
75,Hombre,1,2.51,Quechua,Ninguno,20,Informal,967.3199999999999,845.62,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Selva,0
18,Hombre,9,0.52,Español,Secundaria,13,Informal,7002.900000000001,4933.6,Urbana,Cedida,Adobe,1,1,1,1,0,Selva,1
45,Hombre,6,1.88,Español,Ninguno,2,Informal,2649.9900000000002,3001.16,Urbana,Propia,Ladrillo/Cemento,0,1,0,0,1,Costa,1
68,Hombre,3,1.23,Español,Primaria,20,Formal,10708.08,7597.86,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Costa,0
56,Hombre,6,2.64,Español,Secundaria,19,Formal,16190.579999999998,14950.54,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,0
34,Hombre,8,1.87,Español,Superior,10,Informal,5141.700000000001,4121.9,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,0
47,Hombre,5,1.1,Español,Superior,14,Formal,7655.25,7202.44,Rural,Propia,Adobe,0,0,1,0,0,Selva,1
37,Mujer,5,1.25,Español,Ninguno,13,Informal,2569.98,2251.58,Rural,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,1
55,Mujer,4,2.62,Español,Superior,4,Formal,3425.19,3842.73,Rural,Propia,Ladrillo/Cemento,0,0,1,0,1,Sierra,1
23,Hombre,5,0.98,Español,Primaria,15,Formal,8636.880000000001,6781.51,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
23,Hombre,6,1.76,Español,Secundaria,11,Formal,13566.150000000001,9757.57,Rural,Propia,Ladrillo/Cemento,0,0,1,1,1,Costa,0
39,Mujer,8,0.7,Español,Secundaria,16,Informal,3642.93,4340.58,Rural,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,0
30,Hombre,3,0.57,Español,Primaria,3,Informal,18668.31,18126.98,Urbana,Propia,Adobe,0,1,1,1,1,Selva,1
58,Hombre,9,0.2,Español,Secundaria,14,Informal,7307.67,8053.13,Urbana,Alquilada,Adobe,0,1,1,0,1,Selva,0
67,Hombre,5,0.52,Español,Secundaria,11,Informal,13593.300000000001,13756.03,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Sierra,1
58,Hombre,3,1.22,Español,Primaria,15,Formal,4064.04,4848.43,Urbana,Propia,Ladrillo/Cemento,0,0,1,0,1,Sierra,0
23,Mujer,7,1.34,Español,Secundaria,6,Desempleado,4783.14,3705.39,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,0
45,Hombre,4,2.21,Español,Secundaria,5,Informal,2433.7200000000003,2421.93,Urbana,Propia,Adobe,1,0,0,0,1,Sierra,0
60,Hombre,7,0.14,Español,Secundaria,19,Informal,5956.53,6415.56,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,1,Costa,0
43,Hombre,5,1.57,Español,Primaria,2,Informal,6866.700000000001,7263.36,Rural,Alquilada,Ladrillo/Cemento,0,1,0,0,1,Costa,1
68,Mujer,2,1.9,Español,Ninguno,20,Informal,7806.87,7696.75,Rural,Propia,Ladrillo/Cemento,1,1,0,0,0,Costa,0
52,Hombre,6,0.7,Español,Secundaria,14,Informal,5790.72,6074.28,Rural,Propia,Adobe,1,1,1,0,1,Selva,0
62,Hombre,1,1.87,Quechua,Superior,5,Formal,2972.64,2700.96,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,0
62,Hombre,3,2.11,Español,Secundaria,6,Informal,6459.42,4613.94,Rural,Alquilada,Ladrillo/Cemento,0,1,1,0,1,Costa,1
21,Mujer,5,0.12,Español,Ninguno,15,Informal,16226.07,18995.44,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
59,Hombre,1,0.85,Quechua,Primaria,0,Formal,2358.66,1837.99,Urbana,Propia,Adobe,1,1,1,0,1,Costa,0
66,Hombre,2,0.22,Español,Ninguno,16,Formal,3321.54,2865.64,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
36,Hombre,6,0.27,Español,Secundaria,12,Informal,24656.550000000003,20732.05,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,0
60,Mujer,3,0.18,Español,Secundaria,18,Informal,4599.15,4810.36,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,1,Costa,0
71,Mujer,4,1.27,Español,Primaria,17,Informal,3259.92,3267.51,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Sierra,0
54,Mujer,8,0.91,Español,Primaria,3,Informal,5596.950000000001,3947.23,Urbana,Alquilada,Adobe,1,1,1,1,1,Sierra,1
47,Mujer,4,2.14,Español,Superior,10,Informal,9445.59,10394.17,Urbana,Propia,Adobe,1,1,1,1,1,Costa,0
74,Hombre,8,2.82,Español,Primaria,14,Informal,4302.78,3226.9,Rural,Propia,Ladrillo/Cemento,0,0,1,0,0,Selva,1
71,Mujer,6,2.75,Español,Secundaria,5,Informal,1915.1999999999998,1543.61,Rural,Propia,Adobe,1,1,0,0,1,Costa,1
65,Hombre,7,2.92,Español,Secundaria,4,Formal,17565.449999999997,20556.01,Rural,Propia,Ladrillo/Cemento,1,0,1,1,1,Selva,1
59,Mujer,8,2.61,Español,Secundaria,2,Informal,3487.3500000000004,3816.65,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
25,Hombre,1,1.16,Español,Secundaria,0,Informal,6672.960000000001,4863.34,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,1,Sierra,0
44,Mujer,6,0.14,Español,Superior,11,Informal,4830.6900000000005,4567.18,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,1
36,Hombre,3,2.88,Español,Primaria,11,Formal,10336.53,8927.84,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Selva,0
26,Hombre,5,0.53,Español,Superior,19,Formal,19116.72,19007.16,Urbana,Cedida,Ladrillo/Cemento,1,0,1,0,1,Sierra,0
78,Hombre,9,2.92,Español,Secundaria,10,Desempleado,1276.77,1220.79,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
29,Mujer,3,2.7,Español,Secundaria,5,Informal,5990.91,5210.14,Rural,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,1
25,Mujer,8,0.44,Español,Superior,11,Informal,13375.949999999999,10184.11,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
76,Hombre,2,1.82,Quechua,Superior,4,Informal,6212.700000000001,6411.5,Urbana,Propia,Adobe,0,0,1,0,0,Sierra,0
19,Hombre,9,1.36,Quechua,Ninguno,19,Formal,3496.8900000000003,3961.29,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
67,Hombre,4,2.16,Español,Superior,11,Desempleado,3259.92,3210.95,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Selva,0
31,Hombre,5,0.43,Español,Primaria,19,Desempleado,1546.44,1505.74,Urbana,Propia,Madera/Esteras,1,1,1,0,1,Sierra,1
45,Hombre,5,2.02,Español,Superior,2,Informal,17204.19,17856.1,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Sierra,0
31,Hombre,4,0.87,Español,Superior,8,Informal,5630.91,5654.77,Rural,Alquilada,Ladrillo/Cemento,1,1,0,0,0,Sierra,1
65,Hombre,3,0.21,Español,Secundaria,15,Desempleado,4682.04,4214.86,Urbana,Alquilada,Ladrillo/Cemento,0,0,0,0,1,Costa,1
40,Hombre,7,2.18,Español,Primaria,1,Informal,3391.3500000000004,3632.09,Urbana,Propia,Madera/Esteras,0,1,1,0,0,Selva,1
36,Mujer,4,1.89,Español,Superior,0,Informal,9135.960000000001,7037.63,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Costa,1
78,Hombre,5,0.66,Quechua,Secundaria,15,Informal,6042.12,4706.56,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,1
39,Hombre,8,2.35,Español,Superior,17,Informal,12660.78,14173.48,Urbana,Propia,Adobe,1,1,0,0,0,Sierra,1
41,Hombre,7,1.4,Español,Ninguno,13,Formal,5798.37,5767.75,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
46,Hombre,7,1.17,Español,Secundaria,18,Informal,11361.42,8528.68,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,1,Selva,0
