EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,AniosEstudioJefeHogar,TipoEmpleo,IngresoMensualHogar,AreaResidencia,TenenciaVivienda,MaterialParedes,AccesoAguaPotable,AccesoSaneamiento,AccesoElectricidad,Hacinamiento,PoseeActivos,Region,GastoMensualHogar,PobrezaMonetaria
26,Hombre,2,0.07,Español,Primaria,12,Informal,5228.97,Rural,Alquilada,Ladrillo/Cemento,1,1,1,1,0,Costa,5340.45,1
75,Mujer,8,1.72,Español,Ninguno,15,Informal,4308.15,Urbana,Alquilada,Adobe,1,1,1,0,0,Costa,4198.16,1
20,Hombre,9,3.95,Español,Ninguno,5,Informal,3860.04,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,3648.78,1
66,Hombre,3,0.18,Español,Superior,1,Formal,6441.8099999999995,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,4864.2,1
32,Hombre,11,1.85,Español,Secundaria,8,Formal,18512.37,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,0,1,Sierra,21997.48,0
42,Hombre,6,4.82,Español,Secundaria,2,Formal,19770.36,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Selva,15748.12,0
48,Mujer,3,1.07,Español,Superior,3,Informal,15054.329999999998,Urbana,Alquilada,Ladrillo/Cemento,1,0,0,0,1,Sierra,13271.02,0
59,Hombre,4,0.15,Español,Superior,21,Formal,14018.76,Rural,Alquilada,Ladrillo/Cemento,1,1,0,1,0,Costa,15903.77,0
42,Hombre,10,1.93,Español,Primaria,12,Formal,14656.89,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,16875.85,0
48,Hombre,4,0.43,Español,Primaria,20,Informal,3726.33,Urbana,Alquilada,Adobe,0,1,0,0,1,Costa,2862.58,1
20,Hombre,7,0.5,Español,Secundaria,18,Formal,7867.349999999999,Rural,Alquilada,Adobe,1,1,1,0,1,Costa,7599.58,0
28,Hombre,8,2.4,Quechua,Ninguno,9,Informal,3744.4800000000005,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,2994.68,1
33,Mujer,4,0.78,Español,Primaria,3,Informal,4499.07,Urbana,Propia,Adobe,1,1,1,0,1,Selva,3234.74,1
69,Mujer,10,3.67,Español,Secundaria,18,Formal,5210.7300000000005,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,6155.57,0
20,Hombre,6,0.52,Español,Primaria,18,Informal,8993.76,Rural,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Selva,7397.18,0
49,Hombre,7,2.55,Español,Primaria,0,Formal,4352.37,Urbana,Propia,Madera/Esteras,1,1,1,0,1,Sierra,4876.34,1
45,Mujer,9,0.45,Español,Ninguno,14,Formal,15055.949999999999,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,11769.08,0
54,Hombre,8,2.84,Español,Primaria,1,Informal,5232.0599999999995,Rural,Propia,Ladrillo/Cemento,0,1,1,0,0,Selva,4273.02,1
40,Hombre,6,0.28,Español,Secundaria,13,Informal,25826.340000000004,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,20588.7,0
28,Hombre,5,2.52,Español,Primaria,21,Desempleado,4005.4500000000003,Rural,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,3755.83,1
62,Hombre,11,0.62,Español,Secundaria,13,Informal,4591.38,Urbana,Alquilada,Adobe,1,1,1,0,0,Selva,3227.71,1
